"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U45203AS2003PTC007172","29-07-2003","SINGHCO INDIA PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","2,500,000.00","1,800,000.00","Assam","RoC-Shillong","Construction","PRAG PLAZA5 TH FLOOR G S ROAD GUWAHATI ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS2003PTC007271","24-11-2003","SUBANSIRI INFRASTRUCTURES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","120,000.00","Assam","RoC-Shillong","Construction","LAKHIMPUR ASSAM LAKHIMPUR Assam INDIA 787001","Indian Non-Government Company"
"U45203AS2004PLC007303","8-01-2004","JAYANTI CONTRACTORS AND ENGINEERS LIMITED","ACTIVE","Public","Company Limited by Shares","20,000,000.00","9,249,800.00","Assam","RoC-Shillong","Construction","JAWAHAR NAGAR, NEAR ESI HOSPITAL BASISTHA GUWAHATI Assam INDIA 781028","Indian Non-Government Company"
"U45203AS2004PLC007355","8-03-2004","ASSAM PROGRESSIVE DEVELOPERS LIMITED","ACTIVE","Public","Company Limited by Shares","30,000,000.00","28,000,000.00","Assam","RoC-Shillong","Construction","N S AVENUE SILCHAR Assam INDIA 788005","Indian Non-Government Company"
"U45203AS2004PTC007395","27-04-2004","PANNA PRAGATI INFRASTRUCTURE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","9,000,000.00","8,995,000.00","Assam","RoC-Shillong","Construction","224, SHREE MANTA MARKET, A.T. ROAD GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2004PTC007412","11-05-2004","SHYAMAL BORUAH ASSOCIATES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","25,000,000.00","23,005,000.00","Assam","RoC-Shillong","Construction","S G COMMERCIAL COMPLEX MANCOTTA ROAD, DIBRUGARH Assam INDIA 786001","Indian Non-Government Company"
"U45203AS2004PTC007568","5-11-2004","MAHADEV TRADE & TECHNOLOGY PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,000,000.00","200,000.00","Assam","RoC-Shillong","Construction","H O LACHRWARI SHAHCHIRING GAON RLY COLONY DIBRUGARH ASSAM Assam INDIA 786001","Indian Non-Government Company"
"U45203AS2005PLC007643","31-01-2005","SHRISTI RIVERINE LIMITED","ACTIVE","Public","Company Limited by Shares","60,000,000.00","50,813,200.00","Assam","RoC-Shillong","Construction","HOUSE NO.69, ' HARIPRIVYA ABASH' 2ND FLOOR, LAMB ROAD, AMBARI GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2005PTC007641","28-01-2005","AGNI SHANTI BUILDTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","15,000,000.00","7,247,600.00","Assam","RoC-Shillong","Construction","SHANTI SADANG NB ROAD AMBARI GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2005PTC007644","31-01-2005","EDEN RIVERSCAPE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,111,800.00","Assam","RoC-Shillong","Construction","HOUSE NO.69,'HARIPRIVYA ABASH' 2ND FLOOR LAMB ROAD, AMBARI GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
