"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","ROC","DESCRIPTION","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U29220PY1987PTC000495","4-10-1987","INTEGRATED MACHINE TOOLS CO.PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",9.88131291682493e-320,4.94065645841247e-321,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","14 JYOTHI RAMALINGA STREETOLD SARAM, PONDICHERRY pondicherry Pondicherry INDIA","Indian Non-Government Company"
"U29222PY2002PTC001632","2-5-2002","ZERO ONEE TOOLING PRIVATE LIMITED","ACTIVE","PRIV","CLSH",1.72922976044436e-317,1.63041663127611e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","RS No.15/17, VAZHUDHAVUR ROAD KURUMBAPET PONDICHERRY Pondicherry INDIA 605009","Indian Non-Government Company"
"U29224PY1999PTC001500","11-15-1999","GENESIS SUPER ABRASIVES (INDIA) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.44659081257122e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","142/7,THONDAMANATHAM ROADPATHUKANNU KOODAPAKKAM POST PONDICHERRY-605502. Pondicherry INDIA 605502","Indian Non-Government Company"
"U29249PY1993PTC000902","7-13-1993","PONDY PROCESS CONTROL VALVES PRIVATE LIMITED","DISSOLVED","PRIV","CLSH",2.47032822920623e-318,7.26276499386632e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","C,15 INDUSTRIAL ESTATETHATTANCHAVADY PONDICHERRY-605009 PONDICHERRY-605009 Pondicherry INDIA 605009","Indian Non-Government Company"
"U29259PY1996PTC001196","2-9-1996","SRI VASAVI PIGMENTS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-317,3.13731685109192e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","1-486A GOPAL NAGAR YANAM YANAM Pondicherry INDIA 533464","Indian Non-Government Company"
"U29259PY2011PTC002567","3-23-2011","AGARAM ENTERPRISES PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.28, AMBEDKAR SALAI, COLAS NAGAR, PONDICHERRY Pondicherry INDIA 605001","Indian Non-Government Company"
"U29266PY2008PTC002161","4-21-2008","AUROELECTRONICS (PONDY) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,0,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","A2, INDUSTRIAL ESTATE, THATTANCHAVADY PONDICHERRY Pondicherry INDIA 605009","Indian Non-Government Company"
"U29268PY1986PTC000390","2-26-1986","SHRISAKTHI REFINERIES PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",3.70549234380935e-319,4.94065645841247e-320,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","108/3, CANDHI ROAD,PONDICHERRY.1. pondicherry Pondicherry INDIA","Indian Non-Government Company"
"U29268PY1987PTC000525","8-27-1987","COSMO AUTO PARTS PVT LTD","STRIKE OFF","PRIV","CLSH",3.45845952088873e-318,1.26480805335359e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","84, Ilango Nagar pondicherry Pondicherry Pondicherry INDIA 605011","Indian Non-Government Company"
"U29268PY2007PTC002087","8-30-2007","UNIVERSAL TEXTILE EQUIPMENTS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-317,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","81, BARATHIDASAN STREET MUTHIYANPET PONDICHERRY Pondicherry INDIA 605003","Indian Non-Government Company"
