"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U55201CH2002PTC025681","27-12-2002","HOT MILLIONS HOTELS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","7,500,000.00","225,600.00","Chandigarh","RoC-Chandigarh","Trading","SCO 196 197SECTOR 17 CHANDIGARH U T Chandigarh INDIA 160017","Indian Non-Government Company"
"U55201CH2003PTC025993","7-05-2003","THE GREAT INDIAN GOURMET SERVICES PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","147 SECTOR 18-ACHANDIGARH U T u t Chandigarh INDIA","Indian Non-Government Company"
"U55201CH2003PTC026272","8-08-2003","MEAZBAAN HOSPITALITY PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","H NO 1229IST FLOOR SECTOR 18 C CHANDIGARH Chandigarh INDIA","Indian Non-Government Company"
"U55201CH2007PTC031009","29-11-2007","DOVE FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","BOOTH NO. 35, SECTOR-8-B CHANDIGARH Chandigarh INDIA 160009","Indian Non-Government Company"
"U55202CH1994PTC014375","28-04-1994","KWALITY CAFES AND RESTAURANTS PVT LTD","ACTIVE","Private","Company Limited by Shares","10,000,000.00","8,611,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 20SECTOR 17 E CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"U55202CH2003PTC025935","17-04-2003","R AND C FOODS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","2,000,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 143 SECTOR 17 C CHANDIGARH Chandigarh INDIA 160017","Indian Non-Government Company"
"U55203CH1995PTC015593","9-01-1995","ASHIANA COTTAGES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","702 SECTOR 43 ACHANDIGARH U T Chandigarh INDIA","Indian Non-Government Company"
"U55204CH1990PTC010736","8-10-1990","DINER S CATERING SERVICES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00","2,000.00","Chandigarh","RoC-Chandigarh","Trading","CH CH U T Chandigarh INDIA","Indian Non-Government Company"
"U55204CH1994PTC015039","7-09-1994","COMMANDO CATERERS PVT LTD","ACTIVE","Private","Company Limited by Shares","17,500,000.00","16,095,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 491 92SECTOR 35 C CHANDIGARH chandigarh Chandigarh INDIA","Indian Non-Government Company"
"U55204CH2001PTC024310","4-04-2001","DECENT CATERERS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00",NA,"Chandigarh","RoC-Chandigarh","Trading","H.NO. 32, SECTOR 16-A,CHANDIGARH. Chandigarh INDIA","Indian Non-Government Company"
"U55204CH2002PTC025647","17-12-2002","PRIDE CATERERS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 20 SECTOR 20-DCHANDIGARH u t Chandigarh INDIA","Indian Non-Government Company"
"U55204CH2004PTC026707","12-01-2004","BEST HANDS CATERER PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCF 58GRAIN MARKET SECTOR 26 CHANDIGARH U T Chandigarh INDIA","Indian Non-Government Company"
"U55204CH2010PTC032400","13-08-2010","SKYWAY HOSPITALITY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 64-65 SECTOR 17-A CHANDIGARH Chandigarh INDIA 160017","Indian Non-Government Company"
"U55204CH2010PTC032406","17-08-2010","WEST SIDE CATERING SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO. 1018, SECTOR- 44 CHANDIGARH Chandigarh INDIA 160047","Indian Non-Government Company"
"U55204CH2011PTC032898","26-04-2011","QILA CAFE AND HOSPITALITY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","H No 2467 SECTOR 52-D CHANDIGARH Chandigarh INDIA 160047","Indian Non-Government Company"
"U55204CH2011PTC033108","12-07-2011","PAUL FRESH FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO 3114, FIRST FLOOR SECTOR - 38D CHANDIGARH Chandigarh INDIA 160014","Indian Non-Government Company"
"U55204CH2012PTC034266","17-12-2012","FUN 'N' FOOD VENTURE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","Booth No.14 SECTOR-19/D Chandigarh Chandigarh INDIA 160019","Indian Non-Government Company"
"U55204CH2013PTC034738","23-09-2013","G V M HOSPITALITY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 360 GROUND FLOOR SECTOR 32D CHANDIGARH Chandigarh INDIA 160032","Indian Non-Government Company"
"U55204CH2013PTC034892","26-12-2013","G SQUARE RESORTS & HOTELS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","7,000,000.00","5,290,000.00","Chandigarh","RoC-Chandigarh","Trading","# 3038, SECTOR-20/D, CHANDIGARH Chandigarh INDIA 160020","Indian Non-Government Company"
"U55204CH2014OPC035296","5-12-2014","KWALS HOSPITALITY OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOME NO 34 SECTOR 9 CHANDIGARH Chandigarh INDIA 160009","Indian Non-Government Company"
"U55204CH2014PTC034936","24-01-2014","PARKSIDE HOTELS MANAGEMENT PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","#1598 (FF) SECTOR 22-B CHANDIGARH Chandigarh INDIA 160022","Indian Non-Government Company"
"U55205CH2012PTC034047","4-09-2012","ULTA SULTA BRANDS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","# 114, Sector 8-A, Chandigarh Chandigarh INDIA 160008","Indian Non-Government Company"
"U55209CH1996PTC019037","14-11-1996","SEA STAR ENTERPRISES PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","5,000,000.00","2,986,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO-1003/2 SECTOR-45 B CHANDIGARH Chandigarh INDIA 160047","Indian Non-Government Company"
"U55209CH2001PTC024757","6-11-2001","FIESTA FOODS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,000,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO NO 222 223SECTOR 34 A CHANDIGARH u t Chandigarh INDIA","Indian Non-Government Company"
"U55209CH2003PTC025959","25-04-2003","GOOD AND KIND FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","11,500,000.00","11,500,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 437 438SECTOR 35 C CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"U55209CH2008PTC031177","3-04-2008","SUNDARAMS SOUTH INDIAN FOOD PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","186,600.00","Chandigarh","RoC-Chandigarh","Trading","SCO 35 SEC 26 CHANDIGARH Chandigarh INDIA 160026","Indian Non-Government Company"
"U55209CH2009PTC031480","7-01-2009","BIG BANG COFFEE HOUSES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00",NA,"Chandigarh","RoC-Chandigarh","Trading","SCO 206-207, 3RD FLOOR SECTOR 34 CHANDIGARH Chandigarh INDIA 160034","Indian Non-Government Company"
"U55209CH2009PTC031607","1-05-2009","BREWSTA BEVERAGES & FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO. 1187 SECTOR 37-B, FIRST FLOOR CHANDIGARH Chandigarh INDIA 160035","Indian Non-Government Company"
"U55209CH2010PTC032565","18-11-2010","CAFE FRESH HEALTHY FOOD PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Chandigarh","RoC-Chandigarh","Trading","154 SECTOR 35 A CHANDIGARH Chandigarh INDIA 160035","Indian Non-Government Company"
"U55209CH2011PTC032849","1-04-2011","COUNTRY COFFEE CAFE PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","# 38 SECTOR 2 CHANDIGARH Chandigarh INDIA 160001","Indian Non-Government Company"
"U55209CH2011PTC033175","17-08-2011","CONSORTIUM FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","300,000.00","200,000.00","Chandigarh","RoC-Chandigarh","Trading","H. NO. 777/1, DIHRA SAHIB MANIMAJRA NEAR THAKUR DWARKA MANDIR CHANDIGARH Chandigarh INDIA 160101","Indian Non-Government Company"
"U55209CH2011PTC033375","17-11-2011","ASP KEBAB FACTORY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO 1380 SECTOR - 34C CHANDIGARH Chandigarh INDIA 160022","Indian Non-Government Company"
"U55209CH2011PTC033396","30-11-2011","SQUISITA CAFE' INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","13,655,000.00","10,675,720.00","Chandigarh","RoC-Chandigarh","Trading","H NO 9 SECTOR 4 CHANDIGARH Chandigarh INDIA 160007","Indian Non-Government Company"
"U55209CH2012PTC034130","9-10-2012","YUMPOD INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO. 19-D SECTOR 30B CHANDIGARH Chandigarh INDIA 160030","Indian Non-Government Company"
"U55209CH2012PTC034216","21-11-2012","RAM BAN FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCF 70 GRAIN MARKET, SECTOR 26 CHANDIGARH Chandigarh INDIA 160019","Indian Non-Government Company"
"U55209CH2012PTC034281","24-12-2012","A AND M CAFE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","# 698 SECTOR 40-A CHANDIGARH Chandigarh INDIA 160036","Indian Non-Government Company"
"U55209CH2014PTC034929","17-01-2014","AUTOMATED INDIAN KITCHEN PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","HOUSE NO. 34 SECTOR 9-A, CHANDIGARH Chandigarh INDIA 160009","Indian Non-Government Company"
"U55520CH1983PTC005545","18-08-1983","NABHA DISTILLERY PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","10,000.00","Chandigarh","RoC-Chandigarh",NA,"CH CHANDIGARH U T Chandigarh INDIA","Indian Non-Government Company"
"U55909CH1985PTC006204","27-03-1985","P D JAYAN AND CO PVT LD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","30,000.00","Chandigarh","RoC-Chandigarh",NA,"H NO 66 SECTOR 28 ACHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"U59395CH1991PTC011794","29-11-1991","DHALIWAL MARKETING ASSOCIATES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","200","Chandigarh","RoC-Chandigarh",NA,"CH CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"U60100CH1977PTC003780","15-11-1977","SWIFT AIR TRAVELS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00",NA,"Chandigarh","RoC-Chandigarh","Transport, storage and Communications","# 63SECTOR 9 A CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
