"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U26913ML1970PTC001324","24-09-1970","MEGHALAYA POTTERIES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,500,000.00","897,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","MENDI PATHAR DIST: EAST GARO HILLS Meghalaya INDIA","Indian Non-Government Company"
"U26921ML1980PLC001830","8-08-1980","B G INDUSTRIES LTD","ACTIVE","Public","Company Limited by Shares","20,000,000.00","19,910,500.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","POLICE BAZAR, NEAR BIJU CINEMA, SHILLONG, Meghalaya INDIA 793001","Indian Non-Government Company"
"U26921ML1990PTC003397","25-01-1990","SHILLONG BRICKS AND CONSTRUCTION PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","3,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","OAKLAND OPP P & T QUARTERSSHILLONG MEGHALAYA Meghalaya INDIA","Indian Non-Government Company"
"U26921ML2002PTC006885","9-08-2002","MEGHALAYA REFRACTORIES AND MINERALS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","200,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","13 TH MILETAMULKUCHI BYRNIHAT RI BHOI MEGHALAYA Meghalaya INDIA 781315","Indian Non-Government Company"
"U26921ML2014PTC008577","28-10-2014","MARDA INDUSTRIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","30,000,000.00","9,230,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","C/O: MEGHALAYA CEMENT PRODUCTS P.O: RYNJAH, LAPALANG SHILLONG Meghalaya INDIA 793006","Indian Non-Government Company"
"U26933ML1993PTC003991","15-09-1993","NAKASI MINING PRODUCTS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","30,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","MAWLAI OLD GATESHILLONG MEGHALAYA Meghalaya INDIA 793008","Indian Non-Government Company"
"U26940ML2007PLC008298","26-12-2007","GOLDSTONE CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","250,000,000.00","222,410,400.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","VILL MUSIANG LAMARE (OLD) KHLIEHRIAT KHLIEHRIAT Meghalaya INDIA 793200","Indian Non-Government Company"
"U26940ML2007PTC008262","19-05-2007","NILANCHAAL CEMENT PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","200,000,000.00","161,345,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","VERONICA LANE( ADJACENT TO BANSARA EYE CLINIC) LAITUMKHRAH MAIN ROAD SHILONG Meghalaya INDIA 793003","Indian Non-Government Company"
"U26940ML2008PLC008302","24-01-2008","AMRIT CEMENT LIMITED","ACTIVE","Public","Company Limited by Shares","84,500,000.00","42,077,640.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","OPPOSITE HORSE SHOE BUILDING LOWER LACHUMIERE SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"U26940ML2008PLC008306","7-02-2008","JPN RYMBAI CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000.00","1,000,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","MEGHA BUILDING, 15TH MILE, G.S. ROAD BYRNIHAT, SHILLONG Meghalaya INDIA 793101","Indian Non-Government Company"
"U26940ML2008PLC008307","7-02-2008","UNIVERSAL MINERALS AND CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","10,000,000.00","500,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","FERNDALE COMPLEX, BLOCK-III, CMJ HOUSE, KEATING ROAD, SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"U26940ML2008PTC008345","3-12-2008","GARO HILLS CEMENT PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","2,500,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","WEST GARO HILLS TURA Meghalaya INDIA 794001","Indian Non-Government Company"
"U26940ML2009PLC008358","8-05-2009","HERITAGE CEMENT LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00","700,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","R.K. VILLA, VILLAGE - DONGSHANENG UMPLING, P.O. RYNJAH SHILLONG Meghalaya INDIA 793006","Indian Non-Government Company"
"U26940ML2009PLC008381","12-10-2009","JAI UMADUTT CEMENT LIMITED","ACTIVE","Public","Company Limited by Shares","12,000,000.00","11,200,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","HANUMANBUX UMADUTT POLICE BAZAR SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"U26940ML2009PLC008384","15-10-2009","CG CEMENTS COMPANY LIMITED","ACTIVE","Public","Company Limited by Shares","10,000,000.00","500,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","C/o. Vishal Hardware, 29 Cantonment Goenka Market (Near Central Bank) Shillong Meghalaya INDIA 793002","Indian Non-Government Company"
"U26940ML2009PTC008372","27-08-2009","SOHRA CEMENT PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","MODRINA MANSION, LAITUMKHRAH MAIN ROAD, SHILLONG Meghalaya INDIA 793003","Indian Non-Government Company"
"U26940ML2009PTC008375","14-09-2009","SURYANSH CEMENT AND POWER PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","C/O Honsen Lyngdoh Engineering Mawiongrim Mawlai Meghalaya INDIA 793017","Indian Non-Government Company"
"U26940ML2009PTC008378","5-10-2009","TISSA CEMENTS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","10,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","C/O DIKKANCHI DALBOT SHIRA MEHNDI PATHAR Meghalaya INDIA 794112","Indian Non-Government Company"
"U26940ML2010PLC008398","9-02-2010","VALLEY STRONG CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000.00","500,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","VILLAGE LUMSHNONG, KHLIEHRIAT Meghalaya INDIA 793200","Indian Non-Government Company"
"U26940ML2010PLC008408","3-05-2010","MUSTOH CEMENT LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000.00","500,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","Village Mustoh B.P.O. Laithynsew, P.S. Shella, Meghalaya Meghalaya INDIA 793108","Indian Non-Government Company"
"U26940ML2010PTC008404","29-03-2010","MAX CEMENT INDUSTRIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","K L Complex, Opposite - Neep Co. Maccabe Road, Demseiniong Shillong Meghalaya INDIA 793011","Indian Non-Government Company"
"U26940ML2010PTC008428","18-08-2010","MEGATECH CEMENTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","150,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","KHARBAMON HOUSE LUMMAWRIE MAIN ROAD SHILLONG Meghalaya INDIA 793003","Indian Non-Government Company"
"U26940ML2010PTC008431","16-09-2010","SUPER BOND CEMENT PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","825,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","VILLAGE MAWLONG EAST KHASI HILLS MEGHALAYA Meghalaya INDIA 793108","Indian Non-Government Company"
"U26940ML2011PTC008453","1-02-2011","CAMELLIA CEMENT INDUSTRIES PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","20,000,000.00","500,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","THE PRINT CARFT NAMGHAR ROAD, MADAN LABAN SHILLONG Meghalaya INDIA 793004","Indian Non-Government Company"
"U26940ML2011PTC008469","1-04-2011","RI-KHA CEMENT PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","200,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","JAIAW LANSNOLANE SHILLONG Meghalaya INDIA 793002","Indian Non-Government Company"
"U26941ML1981PTC001864","7-02-1981","UMIAM CALCINATES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","1,000,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","BARA BAZAR, G.S.ROAD SHILLONG Meghalaya INDIA 793002","Indian Non-Government Company"
"U26942ML1955SGC001056","20-05-1955","MAWMLUH-CHERRA CEMENTS LTD","ACTIVE","Public","Company Limited by Shares","800,000,000.00","728,285,140.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","TAXATION BLDG NEAR RAJ BHAVAN DIST E K HILLS SHILLONG Meghalaya INDIA 793001","State Government Company"
"U26942ML1986PLC002570","6-08-1986","VIRGO CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","64,165,680.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","DAMAS, EAST GARO HILLS Meghalaya INDIA 793122","Indian Non-Government Company"
"U26942ML1986PLC002612","21-11-1986","JAINTIA CEMENTS LTD","ACTIVE","Public","Company Limited by Shares","60,000,000.00","55,478,900.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","MANBHA PASSAH BUILDING, JOWAI JOWAI Meghalaya INDIA 793150","Indian Non-Government Company"
"U26942ML1989PTC003313","5-07-1989","BOMBER CEMENT PLANT PVT LTD","ACTIVE","Private","Company Limited by Shares","2,000,000.00","1,749,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","3 RD MILEUPPER SHILLONG EAST KHASI HILLS MEGHALAYA Meghalaya INDIA 793016","Indian Non-Government Company"
"U26942ML1992PTC003740","29-06-1992","RKB CEMENTS PVT LTD","ACTIVE","Private","Company Limited by Shares","7,500,000.00","7,500,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","BARABAZAR,g.s. road MEGHALAYA SHILLONG Meghalaya INDIA 793002","Indian Non-Government Company"
"U26942ML1993PTC003833","11-01-1993","ANCHOR CEMENTS PVT LTD","ACTIVE","Private","Company Limited by Shares","12,500,000.00","510,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","9TH MILE, NEAR PETROL PUMP, G.S. ROAD, JORABAT Meghalaya INDIA","Indian Non-Government Company"
"U26942ML1995PTC004606","8-11-1995","A M S CEMENT PVT LTD","DORMANT","Private","Company Limited by Shares","25,000,000.00","1,040,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","VALLEY VIEWLOWER LACHUMIERE SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"U26942ML1995PTC004614","16-11-1995","PALA CEMENT PVT LTD","STRIKE OFF","Private","Company Limited by Shares","5,000,000.00","60,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","PINEMOUNT RIDGEEUROPEAN WARD. SHILLONG DIST EAST KHASI HILLS MEGHALAYA Meghalaya INDIA 793001","Indian Non-Government Company"
"U26942ML1997PLC004943","7-01-1997","H.M.CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","160,000,000.00","142,463,250.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","UPPER BALIAN VILLAGE UMTRU ROAD BYRNIHAT Meghalaya INDIA 793101","Indian Non-Government Company"
"U26942ML1997PTC005222","15-10-1997","NARPUH CEMENTS PVT LIMITED","STRIKE OFF","Private","Company Limited by Shares","20,000,000.00","502,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","IAWMUSIANG, JOWAI JAINTIA HILLS Meghalaya INDIA","Indian Non-Government Company"
"U26942ML1998PLC005541","23-09-1998","S M INDIA LTD","STRIKE OFF","Public","Company Limited by Shares","10,000,000.00","110,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","NONGRIM HILLS DIST EAST KHASI HILLS SHILLONG Meghalaya INDIA","Indian Non-Government Company"
"U26942ML1998PTC004137","30-09-1998","MILLITON MEGHALAYA PVT LTD","STRIKE OFF","Private","Company Limited by Shares","20,000,000.00","300,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","LEKI COTTAGELOWER NONGYTHYMMAI EAST KHASI HILLS MEGHALAYA Meghalaya INDIA","Indian Non-Government Company"
"U26942ML1998PTC005330","6-02-1998","INDUS CEMENTS PVT LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00","11,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","BYRNIHAT Meghalaya INDIA 793003","Indian Non-Government Company"
