"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U00112CT2005PTC017847","4-08-2005","BAPU AGRICULTURE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","1,655,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"PYARELAL AGRAWAL MARG RAMSAGAR PARA RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2005PTC017879","18-08-2005","RAGHUWAR NAYAN AGRO PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"30, PARMANAND NAGAR, MAHOBABAZAR RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2005PTC017940","7-09-2005","SHREE PADMABALAJI HERBALS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","700,000.00","645,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"E-14, ANUPAM NAGAR RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00112CT2005PTC018020","7-10-2005","SHRI BAJRANG BIOFUELS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","102,500.00","Chhattisgarh","RoC-Chhattisgarh",NA,"D/33, 21 BUNGLOW GAYATRI NAGAR RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2005PTC018043","18-10-2005","MAULIK AGRO FORESTRY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","200,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"HIG-157 PAONABHPUR DURG Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2005PTC018045","18-10-2005","MAULIK AGRO FARMS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","200,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"HIG-157 PAONABHPUR DURG Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2005PTC018135","22-11-2005","PRANJAL KRISHI PVT.LTD.","ACTIVE","Private","Company Limited by Shares","2,500,000.00","1,375,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"FLAT NO. D, 1ST FLOOR, CROWN BUILDING, ASHOKA PARK, SHANKAR NAGAR, RAIPUR Chhattisgarh INDIA 492004","Indian Non-Government Company"
"U00112CT2006PTC018296","16-01-2006","RISHIKA FARM PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"GANDHI CHOWK MAHASAMUND Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2006PTC018520","29-03-2006","RAIPUR AGROFARM PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"BUILDING NO.15,FLAT NO.201, ASHOKA RATAN, VIP ESTATE RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00112CT2006PTC018539","6-04-2006","GREEN MYRIAD AGRARIAN PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"OFFICE NO. 4 IIND FLOOR DURGA COLLEGE COMPLEX, K K ROAD,MODHAPARA RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00121CT1992PTC007317","14-09-1992","SUSHMA FARMS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","200","Chhattisgarh","RoC-Chhattisgarh",NA,"34-1ST FLOOR,NEW CLOTHMARKET PANDRI RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00121CT2006PTC018645","2-05-2006","RAIGARH AGRICULTURALS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","3,000,000.00","2,909,090.00","Chhattisgarh","RoC-Chhattisgarh",NA,"C/O ANAND BANSAL , JUTE MILL ROAD RAIGARH Chhattisgarh INDIA 496001","Indian Non-Government Company"
"U00141CT1994PTC008054","10-01-1994","SAGA MINEX PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","30,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"5 CIVIC CENTRE BHILAI Chhattisgarh INDIA","Indian Non-Government Company"
"U00141CT1994PTC008736","20-10-1994","ORBIT MINERALS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00","200","Chhattisgarh","RoC-Chhattisgarh",NA,"PACHPEDI NAKA MAIN DHAMTRI ROAD RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00142CT1977PTC001421","28-10-1977","AJAY MINING PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","3,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"C.G. C.G. RAJNANDGAON Chhattisgarh INDIA","Indian Non-Government Company"
"U00142CT1991PTC006409","29-04-1991","PRITEE FUELS & FLAMES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","3,000,000.00","3,000,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"A-13, Krantinagar BILASPUR Chhattisgarh INDIA 495001","Indian Non-Government Company"
"U00142CT2005PTC017893","24-08-2005","SIMRAN HERITAGE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,000,000.00","1,326,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"INFRONT OF HOTEL SIMRAN STATION ROAD RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00151CT2004PTC017099","17-11-2004","FOOD HEALTH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","300,000.00","291,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"2ND FLOOR, ABOVE ME & MOM IGVP, PANDRI RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00151CT2006PTC018385","8-02-2006","SHIVAZ FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"SARASWATI SCHOOL ROADTILDA NEORA RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00153CT1937PTC000112","23-01-1937","RAIPUR FLOUR MILLS PVT. LTD","DORMANT","Private","Company Limited by Shares","2,000,000.00","2,000,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"FAFADIH CHOWK, RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00153CT2004PTC016832","11-08-2004","APRA FOOD PRODCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","3,000,000.00","2,670,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"83, MAHESH NAGARRAJNANDGAON Chhattisgarh INDIA","Indian Non-Government Company"
"U00171CT1993PTC007955","5-11-1993","ESS PEE IMPEX PVT LTD","ACTIVE","Private","Company Limited by Shares","1,000,000.00","623,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"28/9,NEHRU NAGAR( EAST) BHILAI DURG Chhattisgarh INDIA 490020","Indian Non-Government Company"
"U00171CT1996PTC010391","17-01-1996","BLUE FLAME ALLOYS AND STEEL PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,500,000.00","1,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"KAMDHENU ICE FACTORY, NEAR KRISHIUPAJ MANDI, PANDRI RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00171CT2004PTC016995","28-09-2004","SBT TEXTILES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","15,000,000.00","14,919,840.00","Chhattisgarh","RoC-Chhattisgarh",NA,"589, URLA INDUSTRIAL AREA, RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00171CT2004PTC017172","16-12-2004","VIPUL JUTE PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"268, SAMTA COLONY RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
