"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U29150GA1976PTC000293","15-12-1976","STERLING MAGNETICS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","250,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SEA BIRD 44 LAKEVIEW COLONY MIRAMAR PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29150GA1985PTC000603","19-01-1985","GOA HANDLING CONTROLS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","688,640.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","D4, 4TH FLOOR, COMMERCE CENTRE, VASCO DA GAMA Goa INDIA 403802","Indian Non-Government Company"
"U29150GA1991PTC001115","19-02-1991","CLEAN CAT CONVEYORS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","2,500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","3 A, LOBO MANSIONP C DONGARI ROAD VASCO DA GAMA GOA Goa INDIA 403802","Indian Non-Government Company"
"U29150GA1997PTC002381","17-07-1997","GRATCON ENGINEERS (INDIA) PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","200","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","MARGAO GOA Goa INDIA 403601","Indian Non-Government Company"
"U29150GA2005PTC004106","8-08-2005","GLOBAL CONVEYOR SYSTEMS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","3,694,800.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","MATRUCHAYA PLOT NO 2OCEAN RESIDENCY CHICALIM VASCO GOA Goa INDIA 403802","Indian Non-Government Company"
"U29190GA2009PTC006033","9-03-2009","VERNA ENTERPRISES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT No. S-115 PHASE III-B, VERNA INDUSTRIAL ESTATE VERNA Goa INDIA 403722","Indian Non-Government Company"
"U29191GA1993PTC001339","23-03-1993","CORLIM MARINE EXPORTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","14,800,000.00","14,800,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO 25-32 PHASE III BSANCOALE INDUSTRIAL ESTATE MORMUGAO GOA Goa INDIA 403601","Indian Non-Government Company"
"U29191GA2004PTC003389","12-02-2004","AMBIENCE COOLING SYSTEMS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","2,500,000.00","1,500.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","G-16/17 BUILDING B1JAIRAM COMPLEX RUA DE OUREM MALA PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29193GA1982PTC000502","14-09-1982","FIRE EQUIPMENT (GOA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","250,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SA-13SANCOALE INDUSTRIAL ESTATE ZUARI NAGAR GOA Goa INDIA 403726","Indian Non-Government Company"
"U29193GA2000PTC002908","18-10-2000","BHARATI INDUSTRIAL SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","190,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","HOUSE NO 220AGAPUR DURBHAT PONDA GOA Goa INDIA 403401","Indian Non-Government Company"
"U29197GA1995PTC001810","24-03-1995","CRYSTAL CLEAN PURIFIERS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","3,000,000.00","100,200.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","6 MASCHARENHAS BUILDINGMAHATMA GANDHI ROAD PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29197GA1996PTC002096","17-05-1996","SPENTECH FILTERS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","500,000.00",NA,"Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO 113 & 114KUNDAIM INDUSTRIAL ESTATE KUNDAIM GOA Goa INDIA 403110","Indian Non-Government Company"
"U29197GA1996PTC002193","26-09-1996","PENTAIR WATER INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","465,000,000.00","199,995,520.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","L 52 55 PHASE IIVERNA INDUSTRIAL ESTATE VERNA SALCETE GOA Goa INDIA 403722","Indian Non-Government Company"
"U29197GA1997PTC002373","4-07-1997","PENTAIR WATER TREATMENT PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","C/52-55, VERNA INDUSTRIALESTATE PHASE II, VERNA, SALCETE, GOA MARGAO Goa INDIA 403722","Indian Non-Government Company"
"U29197GA1999PTC002668","20-03-1999","TRITON KINEMATICS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","2,500,000.00","399,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","ALLELUIA MENEZES BUILDINGALTINHO PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29197GA2000PTC002818","23-02-2000","INDIAN DESALINATION ENGINEERING PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","5,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO 67CORLIM INDUSTRIAL ESTATE CORLIM ILHAS GOA Goa INDIA 403110","Indian Non-Government Company"
"U29197GA2003PTC003178","23-01-2003","KONKAN AIR PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","4,583,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","OPP HOLY ROSARY CONVENTGUONLLOY NUVEM SALCETTE GOA Goa INDIA 403604","Indian Non-Government Company"
"U29198GA1995PTC001885","4-07-1995","GOA MACHINES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","200","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","306 RAYU CHAMBERSDR. A. BORKAR ROAD PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29199GA1987PTC000796","31-12-1987","SIMPLEX MACHINES TOOLS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","5,000,000.00","300","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SHABANA CHAMBERS 4TH FLOORNEAR CINE EL DORADO PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29199GA1989PTC000976","9-06-1989","GOMANTAK STEEL FABRICATORS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00","41,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","HINDALE WADA, BICHOLIM GOA Goa INDIA","Indian Non-Government Company"
"U29199GA1990PTC001096","28-11-1990","PETALS ENGINEERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","691,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO. 237-238,KUNDAIM INDUSTRIAL ESTATE, KUNDAIM GOA Goa INDIA 403115","Indian Non-Government Company"
"U29199GA1992PTC001285","8-10-1992","GOA PRECISION STAMPING PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","115 KAMAT TOWERSPATTO PLAZA PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29199GA1999PTC002713","4-08-1999","JIMCAP ELECTRONICS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","7,601,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO. L-12,VERNA ELECTRONIC CITY, VERNA, SALCETE, GOA. Goa INDIA 403722","Indian Non-Government Company"
"U29211GA1984PTC000557","18-01-1984","CENTURY EQUIPMENT PRIVATE LIMITED.","ACTIVE","Private","Company Limited by Shares","2,500,000.00","2,485,400.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","D-1/2, SANCOALE INDL. ESTATE,VASCO DA GAMA, GOA Goa INDIA 403802","Indian Non-Government Company"
"U29211GA1999PTC002721","24-08-1999","OM HI-TECH PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SHELTER B APARTMENTS,B-F-2, HAVELI,CURTI PONDA, GOA. Goa INDIA 403401","Indian Non-Government Company"
"U29214GA1982PTC000506","1-10-1982","M.S.B. CACULO PRIVATE LIMITED","AMALGAMATED","Private","Company Limited by Shares","1,000,000.00","500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","16 SHANTA GROUND FLOOORST INEZ PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29220GA2012PTC006911","29-03-2012","DECASTRO TECH SOLUTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","Shop No 14/309/13 Agnelo Housing Colony Kerant Panaji Goa INDIA 403002","Indian Non-Government Company"
"U29220GA2013PTC007266","10-07-2013","FRANSTEK BELTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","40,000,000.00","20,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","C-404, 3RD FLOOR, OAK CD SCENIC ACRES ND NAIK ROAD, CHANDRAVADDO, FATORDA, SALCETE MARGAO Goa INDIA 403602","Indian Non-Government Company"
"U29222GA1999PTC002638","4-01-1999","KADIAM PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","1,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","3 T 3KAMATT CLASSIC CARANZALEM GOA Goa INDIA 403002","Indian Non-Government Company"
"U29230GA1981PTC000439","21-07-1981","SCHIFFER AND MENEZES DENTAL CARE PRODUCTS PVT. LTD.","ACTIVE","Private","Company Limited by Shares","13,000,000.00","10,661,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","CMM BUILDINGRUA DE OUREM, PANAJI, GOA Goa INDIA 403001","Indian Non-Government Company"
"U29230GA1992PTC001276","8-09-1992","SALGAOCAR HEAVY INDUSTRIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SALGAOCAR HOUSE,F.L GOMES ROAD, VASCO DA GAMA, Goa INDIA 403802","Indian Non-Government Company"
"U29230GA2011PTC006813","31-10-2011","THERMOPLAY INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","2,500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","CASA FERNANDES, 1ST FLOOR, KAMAT KINARA LANE, BEHIND HOTEL RAJ, MIRAMAR PANAJI Goa INDIA 403002","Indian Non-Government Company"
"U29244GA1998PTC002619","17-10-1998","GOA INFRASTRUCTURAL DEVELOPMENT COMPANY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","375,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","VAGLO BUILDINGPOST BOX NO 113 PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29244GA2001PTC002977","27-04-2001","GOA MINING AND SPARES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","200,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","S-12 KURTARKAR MODERNHOMES QUEPEM ROAD RAWANFOND MARGAO GOA Goa INDIA 403601","Indian Non-Government Company"
